Title,Text
"Bid to raise CAA, NPR, NRC issues being scuttled in Parliament: Congress",download time news app latest news subscribe start daily morning time newspaper order new congress hit government caa nrc alleging issue allowed debated parliament effort regard scuttled undemocratic congress spokesperson trained gun chief minister yogi making certain statement alleged inciting people indulge violence prime minister apologise minister made statement provocative incendiary abusive yesterday chief minister made statement unacceptable talking shooting people sending people getting people killed demanded apology ruling party bjp prime minister never chief minister make remark history opposition almost opposition party including sp gave notice rule adjourn business discus citizenship amendment act caa national population register national register citizen nrc last two month whole country road since citizenship bill became act done earlier question simple government detail date birth father asked government present issue u feel issue former chief minister government deliberately divert attention failure deliver promise adding keep giving u toy keep u busy discussion parliament happening country last seven week would held asked allowed raise issue wanted raise congress leader alleged violence orchestrated government arrogant insensitive parliament highest forum discussion debate opposition allowed even mention notice submitted country get know opposition asked chair disallowing adjournment notice due respect chair tell opposition speak speak notice given rule right know rule matter raised everything could put one box motion thanks government sponsored deeply disturbing bjp charge congress supporting protest hearing first time congress party long history democratic protest struggle serving country surely need patronising sermon wherever coming need certification credential national inclusive democratic party belief liberal secular tolerant upholds constitution
Congress confusing CAA with NRC to mislead minorities: BJP,story bjp state president file photo download time news app latest news subscribe start daily morning time newspaper order calling opposition irresponsible childish bjp accused congress misleading minority confusing citizenship amendment act national register citizen describing landmark year bjp government centre made many achievement party state president caa among historic step taken party year caa nothing nrc opposition party irresponsible childish clubbing two bid confuse minority told reporter shrinking population religious minority indication harassed lot whereas size minority population grown manifold since independence indicating safe caa would take away citizenship right anyone congress spreading lie caa meant give citizenship religious minority sought refuge due persecution land keeping central philosophy treating religion equally opposition asking left caa want invite majority come live country asked congress stop misinformation campaign caa
Kapil Sibal's claim on CAA evokes sharp response from Amit Shah in Rajya Sabha,caa download time news app latest news subscribe start daily morning time newspaper order new union home minister shah senior congress leader engaged heated exchange citizenship amendment act debate riot replying debate shah stated hate speech started soon caa passed accused opposition misleading spreading misinformation citizenship taken away caa fear instilled heart minority especially heart brother sister across country caa take away citizenship shah responded saying one saying caa take away anyone citizenship response led sharp reaction treasury bench shah reacted strongly remark could cite several speech congress leader caa would take away citizenship exchange two side went say problem specifically additional question put people give satisfactory response question would marked doubtful process shah strongly denied claim made categorical statement one would marked doubtful process document would sought union home minister false propaganda spread citizenship amendment act caa create sense fear among minority community people would like tell brother sister false propaganda spread issue caa act take anyone citizenship give citizenship shah replying debate menacing violence initiating debate recent law order situation part alleged national capital burning prime minister silent matter hour police machinery busy destroying evidence supporting violence towards shah present upper house asked fir registered delivered hate speech incited communal violence anything protect cow human being need bring another article ensure protection human being referring provision constitution cow video mark citizen shah
"Officially say no to CAA, NRC in Congress-ruled states: Prashant Kishor to Rahul Gandhi",story thanks joining citizen movement know beyond public protest rather trying inform congress please share official statement congress download time news app latest news subscribe start daily morning time newspaper order new poll strategist asked impress upon congress officially announce citizenship amendment act caa national register citizen nrc implemented state ruled vice president thanked former congress president joining citizen movement caa nrc reference congress protest raj ghat thanks joining citizen movement caa nrc know beyond public protest need state say nrc stop hope impress upon cp congress party officially announce nrc state tweeted rather trying inform congress chief minister please share official statement congress president announcing nrc state exuded confidence nrc home minister shah promised parliament stopped state refuse implement sorry voting cab stop state saying nrc get confused leader staunchly opposing caa even introduced parliament even went offer resignation functionary difference party suggested protest caa nrc carried peacefully across nation urged protester ensure chief minister country refuse carry nrc party ruled state including vowed implement nrc state
"In Rajasthan rally, Rahul Gandhi slams PM on jobs, but skirts CAA",congress leader rally download time news app latest news subscribe start daily morning time newspaper order congress mp accused pm pm destroying image scaring away investor urged youth let voice rally however refrained speaking directly caa lashed government failing generate job youth coming heavily government promise creating crore job every year claimed crore people lost job past year alone crore job six year asked give long speech caa nrc prefers remain silent unemployment growth rate tenure stood fallen according new parameter calculating gross domestic product calculate per earlier parameter around youth let voice suppressed former congress chief encouraged ask question employment country future known country peace harmony often cited contrast image tarnished businessmen wary investing claimed pm pm destroyed reputation world today known rape capital talk youth raise question unemployment ask destroyed image answered bullet suppressed growth rate tenure stood fallen according new parameter calculating
"Amit Shah attacks Congress, brands opponents of CAA anti-Dalit",download time news app latest news subscribe start daily morning time newspaper order union home minister shah dubbed opposing citizenship amendment act sought assuage fear saying caa including people excluding anyone public meeting town part bjp nationwide shah since refugee community opposing want ask protester benefit derive protesting poor nothing worry act clearly grant citizenship potshot congress leader several time challenge prove caa take away citizenship please read act completely find anything take away citizenship union parliamentary affair minister ready debate justifying caa implementation population country like dwindled meagre baba explain happened people shah asked adding thankful prime minister fulfilling grandfather dream originally mooted idea caa actually turned dream reality adding even mahatma wished according citizenship minority neighbouring slammed congress opposition party saying always national issue like caa abrogation article construction ram speaking language like pm pm khan asking proof surgical strike carried air force police action protester shah important punish people allegedly raised slogan year ago slogan chanted punish people chief minister attended meeting told gathering work together leadership shah strengthen party booth level give priority irrigation interest farmer working people definitely get support next election
"Rajinikanth: CAA, NRC and NPR; Rajinikanth listens to Muslim leaders, offers his support to help peace return",representative call actor residence read download time news app latest city news subscribe start daily morning time newspaper order representative called actor garden residence explained impact citizenship amendment act caa national register citizen nrc national population register meeting took place backdrop offering lead protest single affected caa actor maintained centre unlikely withdraw soon spoke medium last time felt fully aware impact caa nrc many people including woman graduate elder holding protest caa across country thought understand issue behind move angle sent word willing come person explain needed sent word inviting u meet returned city president p told received u dignified manner freewheeling discussion meeting lasted one hour minute explained whole issue listened u eagerly end meeting fully understood problem offered support might help peace return delegation presented compilation quote various political leader educationist article written caa nrc even speech prime minister inside outside parliament government repeatedly mentioned implementing nrc
"Telangana News: Telangana assembly adopts resolution against CAA, NPR, NRC",representative image download time news app latest city news subscribe start daily morning time newspaper order state legislative assembly passed resolution caa nrc urged government come law new format acceptable resolution introduced chief minister k state assembly urged central government amend citizenship amendment act remove reference religion foreign country abrogate caa cm caa must understood combination first step towards nrc cm nrc may result exclusion large number people government urge central government take necessary step safeguard people exercise central government take confidence section people opposing caa nrc bluntly full understanding divisive politics dividing country chief minister honour secular tolerant image stake global level due caa nrc fact future country stake became eighth state pas resolution caa nrc west resolution supported congress mim member opposed lone bjp member raja mim misleading people floor leader passing resolution alone enough government issue government order remove couple contentious question mainly date place birth parent either write centre remove question pas order state remove question exercise floor leader thanked cm government taking stand caa nrc interest nation urged pas go stopping house listing data collection activity part scheduled start earlier crore people like birth certificate ca produce certificate parent opposed move carry national population register new set chief minister centre move triggered nationwide protest created doubt real intention conduct intolerant thinking good country country ca accept ministry home affair report stated first step preparation national register citizen nrc one ready trust centre nrc speaking truth union home minister report caa went principle constitution section people isolated act constitution permit people projecting caa nrc issue people realise problem entire country poor weaker section nomadic tribe large section society documentary evidence prove date place birth chief minister voiced concern growing trend dubbing anyone agent traitor raising voice caa nrc call assembly traitor passing resolution minister went extent raising slogan like kind language civilized society like ca tolerate nuisance chief minister wondered government elected voter say voter identity card accepted proof citizenship saying driving license work work ration card work even passport work work asked stating stand centre far national security concerned nobody move check infiltration nothing done creates problem country centre called party expert discus issue related national security move forward evolving consensus chief minister recalled earlier experiment issue national identity card failed government admitted pilot project issue multipurpose national identity card failed process found cumbersome document base weak rural area
"Puducherry assembly passes resolution against CAA, NRC, NPR",chief minister v moved resolution download time news app latest city news subscribe start daily morning time newspaper order legislative assembly unanimously passed resolution urging centre withdraw citizenship amendment act caa national register citizen nrc national population register chief minister v moved resolution soon assembly met congress member deliberated detail caa nrc would shatter secular fabric opposition party nr congress boycotted special session assembly three member nominated legislative assembly bjp walked assembly register protest government decision pas resolution caa nrc member assembly congress seat removed party ally three member lone independent candidate extended support congress opposition side nr congress seven four member besides three nominated bjp member
"CAA, NRC has made life difficult for Muslims: Mayawati",leader file photo download time news app latest news subscribe start daily morning time newspaper order new supremo citizenship amendment act national register citizen made life difficult appealed voter get lured enticing manifesto congress bjp rally party win assembly poll bring development line government driven principle caa nrc issue life become difficult alleged beware trick trade rival party use lure vote
"CAA,NRC a 'sinister design' foiled by people: Chowdhury",download time news app latest news subscribe start daily morning time newspaper order new leader congress party attacked government nrc caa saying sinister design foiled people people coming save constitution lower house participating debate motion thanks president caa nrc sinister design foiled common people
Government needs to talk to protesters,view whatever may think caa hard call unconstitutional view whatever may think caa hard call unconstitutional democracy political culture obsessed legal technicality country citizen talk constitution respect though often knowledge currently debate citizenship amendment act illustrates view whatever may think caa hard call unconstitutional concern citizen refugee people opposing suspect used discriminating way national register population register exercise conjecture may yet turn true difficult pin violation constitution occurs another older tradition foundational democracy tradition established noncooperation movement violation law practised open defiance law accepting consequent punishment implicitly accepted law term colonial rule valid even flouted rule natural justice hence civil nonviolent resistance weapon used opinion writes prize joke citizenship law entry recounting old history relevance today large though uncoordinated mass resistance movement across country defying law grew spontaneously police incursion university campus whatever reason spread movement especially shaheen bagh occupation spectacular may suit government blame one opposition party organised know none imagination ability organise popular movement scale wherever power attitude dissent unleash vigilante gang police ability tolerate difference largely absent culture political party whenever power congress pogrom political phenomenon led opposition political party curious lack response government maybe election making direct approach difficult something needed break tension editorial shifting burden proof citizen telling right bounded duty ideally dialogue government including bjp leader demonstrating group demonstrator unorganised leader political opposition party leading movement commenting sideline requires someone side trust orchestrate dialogue one except prime minister willing engage citizen see opportunity attack opposition party attribute power influence opposition party really rival vote election irrelevant issue hand would easy government reject dialogue law breaker use police security force get way life would lost needlessly prove point government within power restrain breaking law never work protest continue read p b writes citizenship law decade finally come term reality express telegram click join channel stay updated latest headline latest opinion news download express app
"Ram Vilas Paswan: No CAA rollback, PM Modi said no NRC, trust him",ram minister consumer affair food public distribution express photo ram minister consumer affair food public distribution express photo protest citizenship amendment bill caa national register citizen nrc national population register raging across nation union minister party leader ram spoke express issue opinion protest shaheen bagh new part country different earlier movement movement start automatically instance student movement corruption continued student would burn bus would whatever wanted one day met requested lead movement sabotage could join requested asked u raise slogan first slogan matter attack lift hand meeting realised importance nonviolence movement became movement violence later congress leader late tried give protest communal colour succeed look present agitation started fee hike caa beginning read caa nrc bus stoned eight arrested say success first understand issue first proposal conduct second citizenship amendment act amended government document required citizenship government amended rule act may added provision preparation today issue raised people caused disease people misled give date place birth parent considered doubtful referred nrc claiming people minority lose citizenship true truth one deprive anyone citizenship christian finally prime minister proposal nrc misconception created pm pm meet chief son alliance leader dinner meet express photo pm pm meet chief son alliance leader dinner meet express photo people anxious people created misconception people asked document show document matter transferred officer true mandatory column kept form people privilege know parent date birth leave column blank know date birth parent many people scheduled caste scheduled tribe community know date birth threat citizenship ground prime minister taken oath constitution born genuine citizen need worry read protest issue blanket order invoking say supreme court seems government ready accept crore people worried prime minister home minister repeatedly talked opposition say rollback caa caa linked nrc government made clear mandatory give detail date place birth parent optional impression prejudiced prejudice bjp creating impression however step last six year differentiates people basis religion take example abrogation article supreme court judgment ram protest issue people community sentiment caa big disservice nation issue come dialogue government read tension communal clash rally government shying engage issue government shying away see political party asked fact whenever meeting called boycott behalf guarantee government take step interest prime minister categorically question nrc discussion pm pm next five year else proof want opposition leader say roll back caa rolled back roll back caa home minister shah nrc follow caa prime minister head government democracy people elect government party party elect prime minister categorically caa grant citizenship deprive anyone citizenship far issue nrc prime minister happen end matter believe happen government brings nrc despite assurance pm pm come procedure discussion citizen one dispute prime minister question nrc issue end party ally bjp discussion nrc come stand mean ally trust prime minister word opposition say government brought issue caa divert people attention economy economy well raising issue raising issue caa sympathy towards agitating people government want see protesting think standoff resolved dialogue express telegram click join channel stay updated latest headline latest news download express app
"Delhi violence will have an adverse impact on Bihar, West Bengal polls for NDA",bring caa trick polarise community adversely affect large population backward caste representational image bring caa trick polarise community adversely affect large population backward caste representational image outcome recently held assembly election clearly indicated people going vote party delivers promise harp nationalism citizenship amendment act caa bring caa trick polarise community adversely affect large population backward caste communal harmony economic stability government must find way caa imbroglio sooner later keeping political ambition aside prime minister new bjp always talked nation first party later government must practise preaches though bjp may say going climb poll plank nationalism caa despite humiliating defeat chance may tweak poll strategy impending west election loss life property clash caa although bjp could get way election due reason difficult repeat performance assembly election people west believe agenda social justice student protesting large number university across country caa related issue large section people mainly woman still dharna street shaheen bagh thing easy bjp backing caa parliament u chief chief minister declared nrc would implemented state got resolution passed assembly bjp declared face realising going solo could detrimental state politics abuzz speculation whether ditch bjp incidentally recent supreme court judgment promotion scheduled caste government job right used attack bjp want public assurance centre get ruling overturned parliament know assembly result bjp bargaining power diminished assembly election u bjp development election clear bjp settle secondary role coalition hence situation vexing party fight greater role coalition none claim advantage basis last election result west bjp desperately trying increase strength electorally caa nrc could damage poll prospect section within party view top brass focus development instead polarisation leadership crisis bjp state unit issue worrying party top brass strong critic caa nrc west assembly passed resolution urging centre repeal caa declared nrc implemented state shah admitting recently hate speech bjp leader may led party defeat could well indication party belatedly realised overkill caa may always pay ever since second inning began bjp pushed forward core agenda perhaps visible majoritarian move government abrogated article constitution conferred special status revoked article supreme court ruled disputed land given claimant temple finally government passed polarising caa amended citizenship legislation suggestion nationwide nrc like registry published created apprehension country future secular state simmering fault line led rising unrest across protest caa widespread reason opposition varied across country opposition caa rooted claim threatens constitution secular history using religion criterion citizenship others fear new act threaten citizenship particular keeping list religiously persecuted population protest drawn common citizen irrespective caste religion student university educational institution across country either government unable dispel doubt ground want obvious electoral gain little wonder protest refuse die regime surging unemployment crore people lost job due many small company closed botched implementation centrally sponsored scheme failed like poor unable refill cylinder bank critical condition country debt burden increased black money returned abroad outcome election violence due inaction central government adverse impact west election local issue dominate disappointed people fulfilled promise created unrest due divisive politics article first appeared print edition march title two state wall writer senior politician former union minister express telegram click join channel stay updated latest headline latest opinion news download express app
"Pinarayi Vijayan: Modi govt stated NPR, CAA and NRC are inter-linked futile to de-link them now",cm event organised collective b centre point express photo cm event organised collective b centre point express photo chief minister speaks express protest citizenship amendment act national register citizen nrc national population register excerpt interview prime minister protest caa road anarchy protest march law duly passed notified parliament say high time prime minister realises genuineness behind protest caa nrc large chunk population irrespective religious political affinity come caa concern need addressed democratic government would engaged protester even state government including expressed concern move centre meaningful dialogue hand prime minister colleague trying tarnish agitation depicting hope prime minister look people different walk life cutting across social political religious belief come unanimously resist amendment proposal given call secular democratic organisation join protest support resounding absolutely clear associate organisation secular democratic credential government realise fact spontaneous protest large number university student came agitate amendment violates basic tenet constitution youngster always forefront resist move prime minister may recollect even emergency university campus centre protest authoritarianism read upholding constitution state govt legal challenge caa student would naturally concerned convinced secular democratic framework country protected cost agitation sprung different place peaceful however heinous attempt crush team comprising respected person toured given detailed report regarding atrocity committed people protesting peacefully ruling party centre always used communalise anything everything intention ensure religious polarisation country seen campaigned election tried level best create communal wedge party rule nation stooping level spreading canard state objection prime minister opposing politics vested interest mind comment steadfast opposition caa made stand clear floor house parliament contention amendment untenable stand judicial scrutiny responsible government every right point decision adversely affect secular character country government many time stated whole process caa nrc interlinked would futile attempt intent ruling party clear fact attempt going create unrest anarchy country earnestly wish government walk let get economy track think livelihood people slogan adhered instead dividing country people high time prime minister realises genuineness behind protest caa nrc express photo high time prime minister realises genuineness behind protest caa nrc express photo think state decision go despite notification would legal backing since many state government expressed concern reservation centre rethink first state assembly come divisive agenda happy many state government come forward adopt similar stand thing stand central government consider genuine reservation instead diverting topic zeroing religious issue protest caa nrc nothing religion concerning constitution county survival secular democratic republic next supreme court decides favour centre respect caa state plan proceed supreme court seized matter want comment however people stand one opposing resolution put vote even lone bjp assembly oppose emphatically show sense state census operation state ensure security official already made stand clear everything required smooth conduct census operation prime minister quoted statement regarding role extremist group agitation sorry say prime minister misled statement assembly public domain anyone go say unified attempt polarise nation communal line shown nation peacefully agitate protect democratic secular fabric nation cautioned attempt organisation like social democratic party tried create communal issue dent peaceful protest organisation like go different cause effectively thing communal polarisation mature enough see evil design organisation chief minister bounden responsibility caution people attempt well understand prime minister interpreted congress alleged trying take political mileage protest slapped case protester criticism taken credit protest swing voter towards party congress issue least beginning joined u created model nation launching united protest later internal difference within congress wherein one section led president came joint protest wish secular democratic organisation jointly held hand issue national importance nevertheless congress issue difference within free charter course clear day one matter vote electoral benefit survival nation express telegram click join channel stay updated latest headline latest news download express app
"PM Modi on CAA: Despite pressure, we stand by our decision",prime minister closing ceremony centenary celebration prime minister closing ceremony centenary celebration amidst ongoing nationwide protest contentious citizenship amendment act caa prime minister reiterated government stand decision despite pressure year waiting decision like repealing article introduction caa decision necessary interest country despite pressure stood ground decision remain addressing public meeting daylong visit constituency laid foundation project worth r crore news agency reported flagged express video link prime minister dedicated nation pandit memorial centre unveiled foot tall statue ideologue tallest statue leader country prime minister pass area prime minister pass area prime minister dedicated nation pandit memorial centre unveiled foot tall statue ideologue tallest statue leader country earlier month pm pm replying motion thanks president address called caa protest road anarchy protest march violence arson law duly passed notified parliament create problem country read pm pm protester raise voice persecuted minority targeted opposition saying building narrative keeping vote bank mind widespread protest largely led woman amended law grant citizenship minority cropped last two month law become controversial largely excludes several opposition ruled state across raised concern caa implement new citizenship law express telegram click join channel stay updated latest headline latest news download express app online medium service pvt ltd
"On CAA, NRC, Congress: 10 things PM Modi said in his Ramlila Maidan speech",prime minister maidan new photo prime minister maidan new photo one longest public speech prime minister took opposition spreading rumour misinformation amended citizenship act maidan even demonstration citizenship amendment act national register citizen nrc continue across country pm pm rule framed far countrywide nrc exercise carried supreme court order follow citizenship act protest live update important thing pm pm speech law affect detention centre asking attendee rally stand respect parliament passing caa pm pm law would impact passed citizenship amendment bill parliament honoured however opposition party politicising issue spreading rumour bill caa affect citizen multiple rumour nrc nrc implemented supreme court order rule framed bringing whole country introduced parliament detention centre pm pm never discriminated anyone religion never asked anyone go temple mosque come implementing scheme misled always ensured document come way beneficiary availing development scheme dare rival find anything discriminatory work citing government development programme target set public property fire people misleading people stoking emotion citizenship law rival burn effigy hate target poor target set public property fire pm pm caa protest target policeman help irrespective religion caste many police personnel laid life working country since independence today brutally thrashing problem arises police personnel ask religion caste whatever time weather help get beating poor people poor driver policeman caa inspired listen least follow know pain refugee better opposing caa throwing acid pain refugee law brainchild inspired mahatma thought whenever want come back welcome opposing law want listen least follow whose name affixed fundamental difference refugee infiltrator fundamental difference refugee infiltrator refugee openly say forced flee country faith infiltrator never admits different country opposing law deliberately mixing infiltrator refugee congress leader like earlier demanded government help come today sympathy become pet ka stomach ache pm pm say allow caa ask legal expert possible chief minister claiming allow caa implemented state stand flag sing national anthem still make speech least ask legal expert advocate general even possible pm pm far chief minister five state west opposed caa nrc allow nrc protesting tricolour right brings responsibility see protester wielding stone feel upset see protester tricolour hand brings peace protesting flag hand sure speak terrorism holding flag right brings responsibility congress problem popular nation congress problem popular among nation made many peace overture got betrayal return country tie excellent haj quota gone prisoner released tie strongest long time congress fear popular among country able carry politics fear among listen assure countryman always everything necessary harmony country bjp made pm pm resident unauthorised colony stating regularising colony boost business even several decade independence large section population face fear uncertainty deceit false electoral promise sealing bulldozer cutoff date life large population confined around word decided go bjp got chance usher new dawn lakh people giving ownership right house express telegram click join channel stay updated latest headline latest news download express app online medium service pvt ltd
